id,title,price,brand,subversion,version,subtype,cartype,year,distance,fuel,gear,color,gas,seller,address,web,webid,date
236,ขาย|มือสอง,"359,000",Mazda,1.3 High Plus,1.3 High Plus,Sedan,Sedan,2016,"110,000",เบนซิน,เกียร์อัตโนมัติ,แดง,ไม่ติดแก๊ส,รถบ้านฝากขาย,บางบัวทอง นนทบุรี,rodkaidee,"/product-368576451
",2023-10-28
237,ขาย|มือสอง,"295,000",Mazda,2.2 Hi-Racer,2.2 Hi-Racer,Double-cab,Pickup,2013,"80,000",ดีเซล,เกียร์ธรรมดา,แดง,ไม่ติดแก๊ส,Nannaphat,บางขุนเทียน กรุงเทพมหานคร,rodkaidee,"/product-368118725
",2023-10-28
238,ขาย|มือสอง,"365,000",Mazda,1.3 High Plus,1.3 High Plus,Hatchback,Sedan,2017,"80,000",เบนซิน,เกียร์อัตโนมัติ,เทา,ไม่ติดแก๊ส,SAWAENG CNX,เมืองเชียงใหม่ เชียงใหม่,rodkaidee,"/product-368589313
",2023-10-28
239,ขาย|มือสอง,"479,000",Mazda,2.0 S,2.0 S,Hatchback,Sedan,2019,"157,001",เบนซิน,เกียร์อัตโนมัติ,เทา,ไม่ติดแก๊ส,Crystal Car,เมืองชลบุรี ชลบุรี,rodkaidee,"/product-368538282
",2023-10-28
240,ขาย|มือสอง,"399,000",Mazda,2.2 Hi-Racer,2.2 Hi-Racer,Double-cab,Pickup,2019,"399,000",ดีเซล,เกียร์ธรรมดา,น้ำตาล,ไม่ติดแก๊ส,ฤกษ์งามยามดี⭐️,จอมทอง กรุงเทพมหานคร,rodkaidee,"/product-368588725
",2023-10-28
241,ขาย|มือสอง,"415,000",Mazda,1.3 High Connect,1.3 High Connect,Sedan,Sedan,2018,"48,000",เบนซิน,เกียร์อัตโนมัติ,ขาว,ไม่ติดแก๊ส,SAWAENG CNX,เมืองเชียงใหม่ เชียงใหม่,rodkaidee,"/product-368553522
",2023-10-28
242,ขาย|มือสอง,"795,000",Mazda,2.0 SP,2.0 SP,SUV,Utility-car,2022,"40,000",เบนซิน,เกียร์อัตโนมัติ,เทา,ไม่ติดแก๊ส,SAWAENG CNX,เมืองเชียงใหม่ เชียงใหม่,rodkaidee,"/product-368517682
",2023-10-28
243,ขาย|มือสอง,"588,000",Mazda,2.0 SP,2.0 SP,Passenger-van,Van,2019,"114,234",เบนซิน,เกียร์อัตโนมัติ,แดง,ไม่ติดแก๊ส,NL auto car,สวนหลวง กรุงเทพมหานคร,rodkaidee,"/product-368474016
",2023-10-28
244,ขาย|มือสอง,"198,000",Mazda,1.5 Spirit Sports,1.5 Spirit Sports,Hatchback,Sedan,2011,"90,000",เบนซิน,เกียร์อัตโนมัติ,ขาว,ไม่ติดแก๊ส,รถบ้านฝากขาย,บางบัวทอง นนทบุรี,rodkaidee,"/product-368576481
",2023-10-28
245,ขาย|มือสอง,"398,000",Mazda,2.0 SP,2.0 SP,SUV,Utility-car,2016,"209,424",เบนซิน,เกียร์อัตโนมัติ,ขาว,ไม่ติดแก๊ส,ออโต้ลีก,ปากเกร็ด นนทบุรี,rodkaidee,"/product-368574359
",2023-10-28
246,ขาย|มือสอง,"449,000",Mazda,1.3 High Connect,1.3 High Connect,Sedan,Sedan,2019,"209,424",เบนซิน,เกียร์อัตโนมัติ,ขาว,ไม่ติดแก๊ส,ดีดียูสคาร์ รถยนต์มือสอง,เมืองภูเก็ต ภูเก็ต,rodkaidee,"/product-368269214
",2023-10-28
247,ขาย|มือสอง,"179,000",Mazda,1.5 Elegance Groove,1.5 Elegance Groove,Sedan,Sedan,2011,"209,424",เบนซิน,เกียร์อัตโนมัติ,บรอนซ์เงิน,ไม่ติดแก๊ส,รถบ้านฝากขาย,บางบัวทอง นนทบุรี,rodkaidee,"/product-368362167
",2023-10-28
248,ขาย|มือสอง,"359,000",Mazda,1.3 High Connect,1.3 High Connect,Sedan,Sedan,2018,"209,424",เบนซิน,เกียร์อัตโนมัติ,ดำ,ไม่ติดแก๊ส,รถบ้านฝากขาย,บางบัวทอง นนทบุรี,rodkaidee,"/product-368078598
",2023-10-28
249,ขาย|มือสอง,"319,000",Mazda,2.2 S,2.2 S,Double-cab,Pickup,2014,"209,424",ดีเซล,เกียร์อัตโนมัติ,ขาว,ไม่ติดแก๊ส,รถบ้านฝากขาย,บางบัวทอง นนทบุรี,rodkaidee,"/product-368096643
",2023-10-28
250,ขาย|มือสอง,"499,000",Mazda,2.0 C,2.0 C,SUV,Utility-car,2020,"209,424",เบนซิน,เกียร์อัตโนมัติ,แดง,ไม่ติดแก๊ส,PJ Car Mart,บางแค กรุงเทพมหานคร,rodkaidee,"/product-368570711
",2023-10-28
251,ขาย|มือสอง,"349,000",Mazda,1.5 XD High Plus,1.5 XD High Plus,Sedan,Sedan,2016,"209,424",ดีเซล,เกียร์อัตโนมัติ,แดง,ไม่ติดแก๊ส,รถบ้านฝากขาย,บางบัวทอง นนทบุรี,rodkaidee,"/product-368266345
",2023-10-28
252,ขาย|มือสอง,"538,000",Mazda,2.0 S,2.0 S,SUV,Utility-car,2017,"150,000",เบนซิน,เกียร์อัตโนมัติ,แดง,ไม่ติดแก๊ส,NL auto car,สวนหลวง กรุงเทพมหานคร,rodkaidee,"/product-368535026
",2023-10-28
253,ขาย|มือสอง,"389,000",Mazda,1.3 Skyactiv-G S Leather Sports,1.3 Skyactiv-G S Leather Sports,Hatchback,Sedan,2021,"30,000",เบนซิน,เกียร์อัตโนมัติ,แดง,ไม่ติดแก๊ส,Wattana,บางแค กรุงเทพมหานคร,rodkaidee,"/product-368569300
",2023-10-28
254,ขาย|มือสอง,"165,000",Mazda,1.5 Elegance Groove,1.5 Elegance Groove,Sedan,Sedan,2012,"30,000",เบนซิน,เกียร์อัตโนมัติ,แดง,ไม่ติดแก๊ส,รถบ้าน ยูโด ยูสคาร์,บางเขน กรุงเทพมหานคร,rodkaidee,"/product-368569270
",2023-10-28
255,ขาย|มือสอง,"880,000",Mazda,2.2 XDL 4WD,2.2 XDL 4WD,SUV,Utility-car,2018,"77,000",ดีเซล,เกียร์อัตโนมัติ,แดง,ไม่ติดแก๊ส,Itsara,ลาดพร้าว กรุงเทพมหานคร,rodkaidee,"/product-368568919
",2023-10-28
256,ขาย|มือสอง,"459,999",Mazda,1.3 Skyactiv-G S Leather Sedan,1.3 Skyactiv-G S Leather Sedan,Sedan,Sedan,2022,"10,400",เบนซิน,เกียร์อัตโนมัติ,ดำ,ไม่ติดแก๊ส,JJ,ประเวศ กรุงเทพมหานคร,rodkaidee,"/product-368565684
",2023-10-28
257,ขาย|มือสอง,"859,999",Mazda,2.0 SP,2.0 SP,SUV,Utility-car,2022,"35,000",เบนซิน,เกียร์อัตโนมัติ,ขาว,ไม่ติดแก๊ส,JJ,ประเวศ กรุงเทพมหานคร,rodkaidee,"/product-368565512
",2023-10-28
258,ขาย|มือสอง,"179,000",Mazda,1.5 Elegance Spirit,1.5 Elegance Spirit,Hatchback,Sedan,2012,"189,000",เบนซิน,เกียร์อัตโนมัติ,เขียว,ไม่ติดแก๊ส,89 ฮีคิม คาร์,ตลิ่งชัน กรุงเทพมหานคร,rodkaidee,"/product-368223196
",2023-10-28
259,ขาย|มือสอง,"445,000",Mazda,2.0 SP Sports,2.0 SP Sports,Hatchback,Sedan,2017,"41,000",เบนซิน,เกียร์อัตโนมัติ,ดำ,ไม่ติดแก๊ส,M4403419,เมืองปทุมธานี ปทุมธานี,rodkaidee,"/product-368563523
",2023-10-28
260,ขาย|มือสอง,"659,000",Mazda,2.0 SP,2.0 SP,SUV,Utility-car,2018,"90,000",เบนซิน,เกียร์อัตโนมัติ,น้ำเงิน,ไม่ติดแก๊ส,moradok007,บางกะปิ กรุงเทพมหานคร,rodkaidee,"/product-367971699
",2023-10-28
261,ขาย|มือสอง,"339,000",Mazda,2.2 Hi-Racer,2.2 Hi-Racer,Double-cab,Pickup,2017,"150,000",ดีเซล,เกียร์ธรรมดา,น้ำตาล,ไม่ติดแก๊ส,ฤกษ์งามยามดี⭐️,จอมทอง กรุงเทพมหานคร,rodkaidee,"/product-368559111
",2023-10-28
262,ขาย|มือสอง,"699,000",Mazda,2.0 SP,2.0 SP,SUV,Utility-car,2018,"90,000",เบนซิน,เกียร์อัตโนมัติ,น้ำเงิน,ไม่ติดแก๊ส,PJ Car Mart,บางแค กรุงเทพมหานคร,rodkaidee,"/product-368137989
",2023-10-28
263,ขาย|มือสอง,"778,000",Mazda,2.0 SP Sports,2.0 SP Sports,Hatchback,Sedan,2021,"26,000",เบนซิน,เกียร์อัตโนมัติ,เทา,ไม่ติดแก๊ส,PJ Car Mart,บางแค กรุงเทพมหานคร,rodkaidee,"/product-368129372
",2023-10-28
264,ขาย|มือสอง,"499,000",Mazda,2.0 C,2.0 C,SUV,Utility-car,2020,"67,000",เบนซิน,เกียร์อัตโนมัติ,แดง,ไม่ติดแก๊ส,PJ Car Mart,บางแค กรุงเทพมหานคร,rodkaidee,"/product-368117667
",2023-10-28
265,ขาย|มือสอง,"269,000",Mazda,2.0 Maxx Sports,2.0 Maxx Sports,Hatchback,Sedan,2012,"87,000",เบนซิน,เกียร์อัตโนมัติ,น้ำตาล,ไม่ติดแก๊ส,รถบ้านวิทยายานยนต์,มีนบุรี กรุงเทพมหานคร,rodkaidee,"/product-368549671
",2023-10-28
266,ขาย|มือสอง,"447,000",Mazda,2.0 S,2.0 S,Sedan,Sedan,2018,"92,586",เบนซิน,เกียร์อัตโนมัติ,เทา,ไม่ติดแก๊ส,KSC Auto,บางกะปิ กรุงเทพมหานคร,rodkaidee,"/product-368105405
",2023-10-28
267,ขาย|มือสอง,"349,000",Mazda,1.3 High Connect,1.3 High Connect,Hatchback,Sedan,2018,"98,000",เบนซิน,เกียร์อัตโนมัติ,แดง,ไม่ติดแก๊ส,ฤกษ์งามยามดี⭐️,จอมทอง กรุงเทพมหานคร,rodkaidee,"/product-368546187
",2023-10-28
268,ขาย|มือสอง,"789,000",Mazda,2.2 XDL 4WD,2.2 XDL 4WD,Hatchback,Utility-car,2019,"120,000",ดีเซล,เกียร์อัตโนมัติ,ดำ,ไม่ติดแก๊ส,JJ,ประเวศ กรุงเทพมหานคร,rodkaidee,"/product-367463845
",2023-10-28
269,ขาย|มือสอง,"199,000",Mazda,1.6 Spirit Sports,1.6 Spirit Sports,Hatchback,Sedan,2012,"181,180",เบนซิน,เกียร์อัตโนมัติ,บรอนซ์เงิน,ไม่ติดแก๊ส,โจ รถบ้าน,บางบัวทอง นนทบุรี,rodkaidee,"/product-368027099
",2023-10-28
270,ขาย|มือสอง,"488,000",Mazda,2.2 XDL 4WD,2.2 XDL 4WD,SUV,Utility-car,2017,"181,180",ดีเซล,เกียร์อัตโนมัติ,เทา,ไม่ติดแก๊ส,PJ Car Mart,บางแค กรุงเทพมหานคร,rodkaidee,"/product-368538933
",2023-10-28
271,ขาย|มือสอง,"357,000",Mazda,1.3 High Connect,1.3 High Connect,Hatchback,Sedan,2018,"67,967",เบนซิน,เกียร์อัตโนมัติ,เทา,ไม่ติดแก๊ส,KSC Auto,บางกะปิ กรุงเทพมหานคร,rodkaidee,"/product-368081900
",2023-10-28
272,ขาย|มือสอง,"299,000",Mazda,1.3 High Connect,1.3 High Connect,Hatchback,Sedan,2017,"130,000",เบนซิน,เกียร์อัตโนมัติ,ดำ,ไม่ติดแก๊ส,Ton,บึงกุ่ม กรุงเทพมหานคร,rodkaidee,"/product-368536459
",2023-10-28
273,ขาย|มือสอง,"768,000",Mazda,2.0 S,2.0 S,SUV,Utility-car,2018,"47,289",เบนซิน,เกียร์อัตโนมัติ,เทา,ไม่ติดแก๊ส,NL auto car,สวนหลวง กรุงเทพมหานคร,rodkaidee,"/product-368535085
",2023-10-28
